episode,global_step,sub_run_index,returns,episode_length
2450,53830,eval_idx02,26.0,26
2450,53830,eval_idx03,27.0,27
2450,53830,eval_idx04,105.0,105
2450,53830,eval_idx05,57.0,57
2450,53830,eval_idx06,33.0,33
2450,53830,eval_idx07,12.0,12
2450,53830,eval_idx08,82.0,82
2450,53830,eval_idx09,76.0,76
2500,54977,eval_idx00,18.0,18
2500,54977,eval_idx01,16.0,16
2500,54977,eval_idx02,18.0,18
2500,54977,eval_idx03,25.0,25
2500,54977,eval_idx04,37.0,37
2500,54977,eval_idx05,61.0,61
2500,54977,eval_idx06,29.0,29
2500,54977,eval_idx07,9.0,9
2500,54977,eval_idx08,63.0,63
2500,54977,eval_idx09,95.0,95
2550,56063,eval_idx00,63.0,63
2550,56063,eval_idx01,34.0,34
2550,56063,eval_idx02,33.0,33
2550,56063,eval_idx03,39.0,39
2550,56063,eval_idx04,73.0,73
2550,56063,eval_idx05,56.0,56
2550,56063,eval_idx06,67.0,67
2550,56063,eval_idx07,19.0,19
2550,56063,eval_idx08,57.0,57
2550,56063,eval_idx09,69.0,69
2600,57404,eval_idx00,43.0,43
2600,57404,eval_idx01,54.0,54
2600,57404,eval_idx02,51.0,51
2600,57404,eval_idx03,49.0,49
2600,57404,eval_idx04,54.0,54
2600,57404,eval_idx05,37.0,37
2600,57404,eval_idx06,46.0,46
2600,57404,eval_idx07,87.0,87
2600,57404,eval_idx08,40.0,40
2600,57404,eval_idx09,37.0,37
2650,58739,eval_idx00,41.0,41
2650,58739,eval_idx01,75.0,75
2650,58739,eval_idx02,48.0,48
2650,58739,eval_idx03,47.0,47
2650,58739,eval_idx04,52.0,52
2650,58739,eval_idx05,35.0,35
2650,58739,eval_idx06,43.0,43
2650,58739,eval_idx07,70.0,70
2650,58739,eval_idx08,37.0,37
2650,58739,eval_idx09,34.0,34
2700,60307,eval_idx00,40.0,40
2700,60307,eval_idx01,101.0,101
2700,60307,eval_idx02,48.0,48
2700,60307,eval_idx03,47.0,47
2700,60307,eval_idx04,50.0,50
2700,60307,eval_idx05,34.0,34
2700,60307,eval_idx06,43.0,43
2700,60307,eval_idx07,62.0,62
2700,60307,eval_idx08,37.0,37
2700,60307,eval_idx09,34.0,34
2750,61906,eval_idx00,137.0,137
2750,61906,eval_idx01,49.0,49
2750,61906,eval_idx02,107.0,107
2750,61906,eval_idx03,81.0,81
2750,61906,eval_idx04,57.0,57
2750,61906,eval_idx05,55.0,55
2750,61906,eval_idx06,71.0,71
2750,61906,eval_idx07,30.0,30
2750,61906,eval_idx08,45.0,45
2750,61906,eval_idx09,44.0,44
2800,63438,eval_idx00,69.0,69
2800,63438,eval_idx01,48.0,48
